Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Sequence,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Time,8/1/2016 11:17:13 AM,8/1/2016 11:20:27 AM,8/1/2016 11:25:31 AM,8/1/2016 11:26:52 AM,8/1/2016 11:27:27 AM,8/1/2016 11:28:14 AM,8/1/2016 11:30:04 AM,8/1/2016 11:30:53 AM,8/1/2016 11:31:05 AM,8/1/2016 11:32:49 AM,8/1/2016 11:33:34 AM,8/1/2016 11:33:45 AM,8/1/2016 12:05:11 PM,8/1/2016 12:06:53 PM,8/1/2016 12:08:19 PM,8/1/2016 12:10:39 PM,8/1/2016 12:11:00 PM,8/1/2016 12:12:59 PM
User,"","","","","","","","","","","","","","","","","",""
Computer,"Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12","Labe-PC12"
Job,"","","","","","","","","","","","","","","","","",""
Device,"","","","","","","","","","","","","","","","","",""
Comment,"","","","","","","","","","","","","","","","","",""
Sequence Comment,"","","","","","","","","","","","","","","","","",""
Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
Description,"","","","","","","","","","","","","","","","","",""
Bin,"","","","","","","","","","","","","","","","","",""
Bin Set,"","","","","","","","","","","","","","","","","",""
DUT Comment,"","","","","","","","","","","","","","","","","",""
Photopic Power,123.353712571321,93.4549406525173,154.326225444168,154.80165519112,92.8881555235834,93.1427922036499,19.7247223713135,29.5911719853023,29.725082121088,24.328269060033,15.9602704110431,16.0045414786859,137.150175944493,127.640415519078,127.637886119324,89.5921306614722,89.5551130169856,53.7423790682811
Luminous Flux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luminous Efficacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illuminance,123.353712571321,93.4549406525173,154.326225444168,154.80165519112,92.8881555235834,93.1427922036499,19.7247223713135,29.5911719853023,29.725082121088,24.328269060033,15.9602704110431,16.0045414786859,137.150175944493,127.640415519078,127.637886119324,89.5921306614722,89.5551130169856,53.7423790682811
Luminous Intensity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luminance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristimulus X,278.731977490448,207.905080253394,40.8399885888317,41.3545082911823,27.4929699344537,27.7469037311377,29.3697965719963,46.5845909301641,46.822430902584,36.9853323798663,21.9309053621735,21.9671938349139,123.24041686665,100.116862183208,100.139270530811,91.7559489004635,91.7012312496974,100.613165510801
Tristimulus Y,123.353712571321,93.4549406525173,154.326225444168,154.80165519112,92.8881555235834,93.1427922036499,19.7247223713135,29.5911719853023,29.725082121088,24.328269060033,15.9602704110431,16.0045414786859,137.150175944493,127.640415519078,127.637886119324,89.5921306614722,89.5551130169856,53.7423790682811
Tristimulus Z,4.89816053845532,7.00358397497575,29.5794402472916,30.4169801557239,21.0053890372316,21.4854964073268,147.368681215882,254.316780843732,255.475626992982,191.270095668816,95.4959297037988,95.5594722316572,29.8104148872427,30.2134779260141,30.5653467768827,25.7055369837011,25.7106559637339,142.74522081989
Cx,0.684872328667025,0.674220553147647,0.181716477320172,0.182521668840198,0.194452561707176,0.194885803310906,0.149492610057244,0.140955043645724,0.141021589339332,0.146428026841128,0.164415482919018,0.164509811891491,0.424672601394745,0.388093843968355,0.387622126450054,0.443150670011308,0.443071751282118,0.338649970745411
Cy,0.303092401306335,0.303067350275064,0.686670565170084,0.683230380730522,0.656980305760998,0.6542066119204,0.100399068911281,0.0895365797022726,0.0895271399445141,0.0963176536669419,0.119653772783856,0.119856187724967,0.472604065134871,0.494786376882928,0.494064601937954,0.432700148667653,0.432702377274076,0.180889399581691
u',0.52008732115655,0.509965016255715,0.0668283273466551,0.0673902032171465,0.0741134569313548,0.0745210776254978,0.153097928217567,0.148666020493964,0.148745869343812,0.151622782956011,0.160131395321453,0.16013591441508,0.217170972316344,0.190212969525073,0.190161601328,0.242619533311175,0.242570198005006,0.301466165205873
v',0.517874126366776,0.515774737729549,0.568194769493594,0.567586454867491,0.563401853020847,0.562854794879963,0.231345892206036,0.212478070734916,0.212469471712973,0.224403003827914,0.262206039328928,0.262506412217414,0.54378535139788,0.545636762481183,0.545356537383435,0.533020503600213,0.533009782986592,0.362312376319037
u,0.52008732115655,0.509965016255715,0.0668283273466551,0.0673902032171465,0.0741134569313548,0.0745210776254978,0.153097928217567,0.148666020493964,0.148745869343812,0.151622782956011,0.160131395321453,0.16013591441508,0.217170972316344,0.190212969525073,0.190161601328,0.242619533311175,0.242570198005006,0.301466165205873
v,0.345249417577851,0.343849825153033,0.378796512995729,0.378390969911661,0.375601235347231,0.375236529919975,0.154230594804024,0.141652047156611,0.141646314475315,0.149602002551943,0.174804026219285,0.175004274811609,0.362523567598586,0.363757841654122,0.36357102492229,0.355347002400142,0.355339855324394,0.241541584212691
CCT,0,0,7814.47062923043,7818.73079032721,7744.68368319249,7751.9366837921,0,0,0,0,0,0,3682.54771300601,4425.45037471358,4431.55191034061,3119.02683460486,3120.30402231308,2414.32145271301
Duv,0,0,0.149391272939398,0.148701022092346,0.141499020789716,0.140961805679593,0,0,0,0,0,0,0.0279992086276767,0.0444737846401452,0.0443616225697943,0.0101546753793459,0.0101671195409524,-0.116153760666345
Du'v',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI Ra,-100,-100,-2.10541287378253,-0.762834264078167,10.4482729429543,11.2692799861171,-100,-100,-100,-100,-100,-100,43.5274960524935,56.3707359012606,56.5052227683988,38.0800926303733,38.0872118334006,-69.1455124770673
R1,-100,-100,-28.6815231648443,-28.0474998981722,-22.7997744783873,-22.2462679088795,-100,-100,-100,-100,-100,-100,34.1797573294073,57.0913100591414,57.2068309434003,23.5173152455642,23.5055518001883,-60.3553370443685
R2,-100,-100,8.28180460418581,9.27957983452693,16.9007283740932,17.4436903523997,-100,-100,-100,-100,-100,-100,79.9052986695952,78.9220670851191,79.1411159389379,77.0249276079917,76.9919229055023,-100
R3,-100,-100,16.2328441991728,18.5753368593311,39.0926609293051,40.4228440927186,-100,-100,-100,-100,-100,-100,58.2896708636927,57.9487085278023,58.1189254601247,62.7625376163448,62.8184931234498,-100
R4,-100,-100,-32.2140722499813,-30.3482246568962,-14.7846733636561,-13.6605537345512,-100,-100,-100,-100,-100,-100,24.3125100300976,52.0161811824991,52.1175945170764,7.7273244063601,7.74536064458009,31.8833743192131
R5,-100,-100,-4.11332191091583,-3.63387465551342,0.0851683438201292,0.4960592151849,-100,-100,-100,-100,-100,-100,45.3401912610429,68.9673032855083,69.0250395021421,30.2526433255953,30.2483605508289,-100
R6,-100,-100,-1.45585795806987,-0.573033500537122,6.30997936958954,6.80378516994035,-100,-100,-100,-100,-100,-100,61.5124583552004,66.3627054537293,66.6105726263242,56.3418567901009,56.2947980333017,-100
R7,-100,-100,34.9856316635472,37.2267002816356,57.0680495821019,58.3306181427693,-100,-100,-100,-100,-100,-100,46.9974408552976,51.5750372453727,51.7223130732247,51.7936267327977,51.8236581017833,3.33519879013679
R8,-100,-100,-9.87880817335481,-8.58165837700005,1.71404478676793,2.56406455935495,-100,-100,-100,-100,-100,-100,-2.31735894438567,18.0825743709126,18.0993900859602,-4.77949068176784,-4.73045049242974,25.021553844273
